hs_code,descrip
2926200000,1-CIANOGUANIDINA (DICIANDIAMIDA)
2926301000,FENPROPOREX (DCI) Y SUS SALES
2926902000,ACETONITRILO
2926903000,CIANHIDRINA DE ACETONA
2926904000,2-CIANO-N-[(ETILAMINO)CARBONIL]-2-(METOXIAMINO) ACETAMIDA (CYMOXANIL)
2926905000,CIPERMETRINA
2927000000,"COMPUESTOS DIAZOICOS, AZOICOS O AZOXI."
2928001000,ETIL-METIL-CETOXIMA (BUTANONA OXIMA)
2929109000,LOS DEMAS ISOCIANATOS
2929901000,"DIHALOGENUROS DE N,N-DIAQUIL (METIL, ETIL, N-PROPIL O ISOPROPIL) FOSFORAMIDATOS"
2929902000,"N,N-DIALQUIL (METIL, ETIL, N-PROPIL O ISOPROPIL) FOSFORAMIDATOS DE DIALQUILO"
2929903000,CICLAMATO DE SODIO (DCI)
2929909000,LOS DEMAS COMPUESTOS CON OTRAS FUNCIONES NITROGENADAS
2930301000,DISULFURO DE  TETRAMETILTIOURAMA (ISO)  (DCI)
2930309000,"LOS DEMAS MONO-,DI-O TETRASULFUROS DE TIOURAMA"
2930400000,METIONINA
2930902100,"N,N-DIALQUIL(METIL,ETIL,N-PROPIL, O ISOPROPIL) AMINOETANO-2-TIOLES Y SALES PROTONADAS"
504002000,"TRIPAS EXCEP.PESCADOS,FRESC.,CONGEL.,SALAD.,O EN SALMUERA,SECAS O AHUMADA"
504003000,"VEJIGAS ,EXCEP.PESCADOS,FRESC.,CONGEL.,SALAD.,O EN SALMUERA,SECOS O AHUMAD"
505100000,PLUMAS DE LAS  UTILIZADAS PARA  RELLENO;  PLUMON
506100000,OSEINA Y HUESOS ACIDULADOS
507100000,MARFIL;  POLVO  Y  DESPERDICIOS DE MARFIL
507900000,"CAPARAZON DE TORTUGA,BALLENAS DE MAMIF.MARINO,CUERNO,ASTA,CASCOS,PEZUÃ¿A,GARRA"
510001000,"BILIS;GLANDULAS Y DEMAS SUSTANC.  DE ANIMAL,USADA PREPARAR.PROD FARMACAUTICO"
510009000,"AMBAR GRIS,CASTOREO,ALGALIA Y ALMIZCLE;CANTARIDAS UTILIZ.P`PREP.PRODUC.FARMACEUTICO"
511100000,SEMEN DE BOVINO
511911000,"HUEVAS Y LECHAS DE PESCADO, IMPROPIOS PARA LA ALIMENTACION HUMANA"
601200000,"BULBOS,CEBOLLAS,TUBERC.RAICES Y BULBOS TUBEROSOS,TURIONES Y RIZOMAS,EN VEGET.O FLOR,A"
602200000,"ARBOLES, ARBUSTOS Y MATAS, DE FRUTAS O DE OTROS FRUTOS COMESTIBLES, INC. INJERTADOS"
602300000,"RODODENDROS Y AZALEAS, INCLUSO INJERTADOS"
602400000,"ROSALES, INCLUSO INJERTADOS"
603900000,"FLORES Y CAPULLOS,CORTADOS PARA RAMOS O ADORNOS,SECOS,BLANQUEADOS,TEÑIDOS,IMPREGNAD.O"
701100000,"PAPAS (PATATAS) PARA SIEMBRA, FRESCAS O REFRIGERADAS"
702000000,TOMATES FRESCOS O REFRIGERADOS.
703100000,"CEBOLLAS Y CHALOTES, FRESCOS O REFRIGERADOS"
704200000,"COLES (REPOLLITOS) DE BRUSELAS, FRESCOS O REFRIGERADOS"
704900000,"DEMAS COLES RIZADAS,COLINABOS Y PROD.COMESTIBLES SIMIL.AL GENERO BRASSICA,FRESCOS O R"
705190000,"LAS DEMAS LECHUGAS, FRESCAS O REFRIGERADAS"
2530200000,"KIESERITA, EPSOMITA (SULFATOS DE MAGNESIO NATURALES)"
2530900020,OXIDOS DE HIERRO MICÃCEOS NATURALES
2530900090,LAS DEMAS MATERIAS MINERALES NO EXPRESADAS NI COMPRENDIDAS EN OTRA PARTE
2601120000,"MINERALES DE HIERRO Y SUS CONCENTRADOS, AGLOMERADOS"
2601200000,PIRITAS DE  HIERRO  TOSTADAS  (CENIZAS DE PIRITAS)
2603000000,MINERALES DE COBRE Y SUS CONCENTRADOS
2604000000,MINERALES DE NIQUEL Y SUS CONCENTRADOS
2605000000,MINERALES DE COBALTO Y SUS CONCENTRADOS
2606000000,MINERALES DE ALUMINIO Y SUS CONCENTRADOS
2607000000,MINERALES DE PLOMO Y SUS CONCENTRADOS.
2609000000,MINERALES DE ESTAÑO Y SUS CONCENTRADOS
2611000000,MINERALES DE VOLFRAMIO (TUNGSTENO) Y SUS CONCENTRADOS.
2612100000,MINERALES DE URANIO Y SUS CONCENTRADOS
2612200000,MINERALES DE TORIO Y SUS CONCENTRADOS
2613100000,"MINERALES DE MOLIBDENO Y SUS CONCENTRADOS, TOSTADOS"
2613900000,"MINERALES DE MOLIBDENO Y SUS CONCENTRADOS, SIN TOSTAR"
2614000000,MINERALES DE TITANIO Y SUS CONCENTRADOS
2615100000,MINERALES DE CIRCONIO Y SUS CONCENTRADOS
2615900000,"MINERALES DE NIOBIO, TANTALIO O VANADIO, Y SUS CONCENTRADOS"
2616100000,MINERALES DE PLATA Y SUS CONCENTRADOS
2616901000,MINERALES DE ORO Y SUS CONCENTRADOS
2617100000,MINERALES DE ANTIMONIO Y SUS CONCENTRADOS
2617900000,DEMAS MINERALES Y SUS CONCENTRADOS
2618000000,ESCORIAS GRANULADAS (ARENA DE ESCORIAS) DE LA SIDERURGIA
2620110000,MATAS DE GALVANIZACION QUE CONTENGAN PRINCIPALMENTE CINC
2620190000,"ESCORIAS, CENIZAS Y RESIDUOS (EXC.DE LA SIDERURGIA) Q CONTENGAN PRINCIPALMENTE CINC"
2620210000,LODOS DE GASOLINA CON PLOMO Y LODOS DE COMPUESTOS ANTIDETONANTES CON PLOMO
2620290000,"ESCORIAS, CENIZAS Y RESIDUOS PRINCIPALMENTE DE PLOMO (EXCEPTO LODOS GASOLINA)"
2620400000,CENIZAS Y RESIDUOS (EXCEPTO DE SIDERURGIA) QUE CONTENGAN PRINCIPALMENTE ALUMINIO
2620600000,"ESCORIAS, CENIZAS Y RESIDUOS QUE CONTENGAN ARSÉNICO, MERCURIO, TALIO O SUS MEZCLAS"
2620910000,"ESCORIAS, CENIZAS Y RESIDUOS CON ANTIMONIO, BERILIO, CADMIO, CROMO O SUS MEZCLAS"
2620990000,"LAS DEMAS ESCORIAS, CENIZAS Y RESIDUOS QUE CONTENGAN METAL, ARSENICO O SUS COMPUESTOS"
2621100000,CENIZAS Y RESIDUOS PROCEDENTES DE LA INCINERACIÓN DE DESECHOS Y DESPERDICIOS MUNICIPA
2621900000,"DEMÁS ESCORIAS Y CENIZAS, INCLUIDAS LAS CENIZAS DE ALGAS"
2701110000,ANTRACITAS
2701120000,HULLA BITUMINOSA
2701190000,LAS DEMAS HULLAS
2701200000,"BRIQUETAS, OVOIDES Y COMBUSTIBLES SOLIDOS SIMILARES, OBTENIDOS DE LA HULLA"
2702100000,"LIGNITOS, INCLUSO PULVERIZADOS, PERO SIN AGLOMERAR"
2702200000,LIGNITOS AGLOMERADOS
2930902900,LOS DEMAS TIOLES (MERCAPTANOS)
2930903000,MALATION (ISO)
2930907000,"FOSFOROTIOATO O,O-DIETILO Y DE S-[2-(DIETILAMINO) ETILO],SALES ALQUILADAS/PROTONADAS"
2930908000,ETILDITIOFOSFONATO DE O-ETILO Y DE S-FENILO (FONOFÓS)
2932110000,TETRAHIDROFURANO
2932120000,2-FURALDEHIDO (FURFURAL)
2932131000,ALCOHOL FURFURILICO
2932132000,ALCOHOL TETRAHIDROFURFURILICO
2932910000,ISOSAFROL
2932920000,"1-(1,3-BENZODIOXOL-5-IL)PROPAN-2-ONA"
2932930000,PIPERONAL
2932940000,SAFROL
2932950000,TETRAHIDROCANNABINOLES (TODOS LOS ISOMEROS)
2932991000,BUTOXIDO DE PIPERONILO
2932992000,EUCALIPTOL
705210000,"ENDIBIA """"WITLOOF"""" (CICHORIUM INTYBUS VAR. FOLIOSUM), FRESCA O REFRIGERADA"
705290000,LAS DEMAS ACHICORIAS FRESCAS O REFRIGERADAS
706100000,"ZANAHORIAS Y NABOS, FRESCOS O REFRIGERADOS"
706900000,"DEMAS REMOLACHAS P`ENSALAD.,SALSIFIES,APIONABOS,RABANOS Y RAICES COMESTIBLES FRESCOS"
707000000,"PEPINOS Y PEPINILLOS, FRESCOS O REFRIGERADOS."
708100000,"ARVEJAS (GUISANTES, CHICHAROS) (PISUM SATIVUM) FRESCAS O REFRIGERADAS"
708200000,"FRIJOLES(FREJOLES,POROTOS,ALUBIAS,JUDIAS) (VIGNA SPP, PHASEOLUS SPP) FRESCOS O REFRIG"
709200000,"ESPARRAGOS, FRESCOS O REFRIGERADOS"
709300000,"BERENJENAS, FRESCOS O REFRIGERADOS"
709510000,"HONGOS DEL GÃ¿NERO AGARICUS, FRESCOS O REFRIGERADOS"
709700000,"ESPINACAS (INCLUIDA LA DE NUEVA ZELANDA) Y ARMUELLES, FRESCO O REFRIGERADO"
710100000,"PAPAS (PATATAS), AUNQUE ESTEN COCIDAS EN AGUA O VAPOR, CONGELADAS"
710220000,"FRIJOLES(FREJOLES,POROTOS,ALUBIAS,JUDIAS)(VIGNA SPP.,PHASEOLUS SPP.)COCIDAS O CONGELA"
710290000,"LAS DEMAS HORTALIZAS DE VAINA,INCLUSO DESVAINADAS,COCIDAS EN AGUA O VAPOR O CONGELADA"
710400000,MAIZ DULCE CONGELADO
710801000,"ESPARRAGOS, AUNQUE ESTEN COCIDOS EN AGUA O VAPOR, CONGELADOS"
711400000,"PEPINOS Y PEPINILLOS,CONSERVADAS PROVISIONALMENTE,TODAVIA IMPROPIOS P`EL CONSUMO INME"
711510000,"HONGOS (AGARICUS),CONSERVADAS PROVISIONALMENTE,TODAVIA IMPROPIOS P`EL CONSUMO INME"
711590000,"DEMAS HONGOS Y TRUFAS, CONSERV.PROVISIONALMENTE, IMPROPIOS PARA EL CONSUMO INMEDIATO"
712200000,"CEBOLLAS SECAS,CORTADAS EN TROZOS O RODAJAS,O TRITUR.,O PULVER.,SIN OTRA PREPARACION"
712310000,"HONGOS (AGARICUS), CORTADOS EN TROZOS O RODAJAS, O TRITUR.,O PULVER., S/ OTRA PREPAR."
712320000,"OREJAS DE JUDAS, CORTADOS EN TROZOS O RODAJAS, O TRITUR.,O PULVER., S/ OTRA PREPAR."
712330000,"HONGOS GELATINOSOS, CORTADOS EN TROZOS O RODAJAS, O TRITUR.,O PULVER., S/ OTRA PREPAR"
713109010,ARVEJAS ENTERAS  EXCEPTO PARA LA SIEMBRA
713109020,ARVEJAS PARTIDAS EXCEPTO PARA LA SIEMBRA
713201000,GARBANZOS PARA SIEMBRA
713209000,"LOS DEMAS GARBANZOS, EXEPTO PARA LA SIEMBRA"
713329000,FRIJOL ADZUKI(PHASEOLUS O VIGNA ANGULARIS) EXCTO. PARA SIEMBRA
713331100,"FRIJOLES COMUNES NEGROS, PARA LA SIEMBRA"
713331900,"FRIJOLES COMUNES (EXCEPTO NEGROS), PARA LA SIEMBRA"
713339100,"FRIJOLES COMUNES NEGROS, EXCEPTO PARA LA SIEMBRA"
713339200,"FRIJOLES COMUNES CANARIO, EXCEPTO PARA LA SIEMBRA"
713339900,FRIJOLES COMUNES (EXCEP: NEGROS O CANARIO) (EXCEP. PARA LA SIEMBRA)
2703000000,"TURBA (COMPRENDIDA LA UTILIZADA PARA CAMA DE ANIMALES), INCLUSO AGLOMERADA."
2704001000,COQUES Y SEMICOQUES DE HULLA
2704002000,COQUES Y SEMICOQUES DE LIGNITO O TURBA
2704003000,CARBON DE RETORTA
2705000000,"GAS DE HULLA, AGUA, POBRE Y GASES SIMIL. EXC. GAS DE PETROLEO Y DEMAS HIDROCARBUROS"
2706000000,"ALQUITRANES DE HULLA, LIGNITO O TURBA Y DEMAS ALQUITRANES MINERALES,AUN DESHIDRATADOS"
2707100000,BENZOL (BENCENO)
2707300000,XILOL (XILENOS)
2707400000,NAFTALENO
2707501000,NAFTA DISOLVENTE
2707509000,"DEMAS MEZCLAS DE HIDROCARBUROS AROMATICOS QUE DESTILEN >= 65% EN VOLUMEN, A 250 Â°C"
2707910000,ACEITES DE CREOSOTA
2707991000,ANTRACENO
2708100000,BREA
2708200000,COQUE DE BREA
2709000000,ACEITES CRUDOS DE PETROLEO O DE MINERAL BITUMINOSO
2710191200,ACIETES MEDIOS Y PREPARACIONES DE MEZCLAS DE N-PARAFINAS
2710191300,ACIETES MEDIOS Y PREPARACIONES DE MEZCLAS DE N-OLEFINAS
2710191900,LOS DEMAS ACEITES MEDIOS Y PREPARACIONES
2710192210,RESIDUAL 6
2710192290,LOS DEMAS FUELOILS (FUEL)
2933111000,FENAZONA (DCI) (ANTIPIRINA)
2933113000,"DIPIRONA (4-METILAMINO-1,5 DIMETIL-2-FENIL-3-PIRAZOLONA METANSULFONATO DE SODIO)"
2933119000,LOS DEMAS DERIVADOS DE LA FENAZONA(ANTIPIRINA)
2933191000,FENILBUTAZONA (DCI)
2933199000,DEMAS COMPUESTOS CON ESTRUCTURA DE CICLO PIRAZOL(INCLUSO HIDROGENADO) SIN CONDENSAR
2933290000,DEMAS COMPUESTOS CON ESTRUCTURA DE CICLO IMIDAZOL(INCLUSO HIDROGENADO) SIN CONDENSAR
2933310000,PIRIDINA Y SUS SALES
2933331000,BROMAZEPAM (DCI)
2933332000,FENTANILO (DCI)
2933333000,PETIDINA (DCI)
2933335000,"ALFENTANILO,ANILERIDINA,BEZITRAMIDA,DIFENOXILATO,DIFENOXINA,DIPIPANONA,FENCICLIDINA,"
2933396000,BENZILATO DE 3-QUINUCLIDINILO
2933410000,LEVORFANOL (DCI) Y SUS SALES
2933520000,MALONILUREA (ÁCIDO BARBITÚRICO) Y SUS SALES
2933531000,FENOBARBITAL (DCI)
2933532000,"ALOBARBITAL (DCI), AMOBARBITAL (DCI), BARBITAL (DCI), BUTALBITAL (DCI) Y BUTOBARBITAL"
2933533000,"CICLOBARBITAL (DCI), METILFENOBARBITAL (DCI) Y PENTOBARBITAL (DCI)"
2933534000,"SECBUTABARBITAL (DCI), SECOBARBITAL (DCI) Y VINILBITAL (DCI)"
2933539000,"DEMAS FENOBARBITALES;SUS SALES Y SUBP 2933.53.10, 2933.53.20, 2933.53.30 Y 2933.53.40"
2933540000,LOS DEMÁS DERIVADOS DE LA MALONILUREA (ÁCIDO BARBITÚRICO); SALES DE ESTOS PRODUCTOS
2933551000,LOPRAZOLAM (DCI)
2933553000,METACUALONA (DCI)
2933554000,ZIPEPROL (DCI)
2933559000,"SALES DE LOPRAZOLAM, MECLOCUALONA, METACUALONA Y ZIPEPROL"
2933610000,MELAMINA
2933710000,6-HEXANOLACTAMA (EPSILON-CAPROLACTAMA)
2933720000,CLOBAZAM (DCI) Y METIPRILONA (DCI)
2933911000,ALPRAZOLAM (DCI)
2933912000,DIAZEPAM (DCI)
2933913000,LORAZEPAM (DCI)
2933914000,TRIAZOLAM (DCI)
713391000,LOS DEMAS FRIJOLES PARA LA SIEMBRA
713399100,"PALLARES (PHASEOLUS LUNATUS), EXCEPTO PARA SIEMBRA"
713399900,"LOS DEMAS FRIJOLES, EXCEPTO PARA LA SIEMBRA"
713401000,LENTEJAS PARA SIEMBRA
713409000,LENTEJAS EXCEPTO PARA LA SIEMBRA
713501000,"HABAS, HABA CABALLAR Y HABA MENOR PARA SIEMBRA"
713509000,"HABAS, HABA CABALLAR Y HABA MENOR EXCEPTO PARA SIEMBRA"
713901000,"DEMAS HORTALIZAS DE VAINAS SECAS DESVAINADAS, MONDADAS O PARTIDAS PARA SIEMBRA"
713909000,"DEMAS HORTALIZAS DE VAINAS SECAS DESVAINADAS,MONDADAS O PARTIDAS EXCEPTO PARA SIEMBRA"
714100000,"RAICES DE YUCA (MANDIOCA)  FRESCAS,REFRIGERADAS,CONGELADAS O SECOS"
714901000,"MACA FRESCA, REFRIGERADA, CONGELADA O SECA, INCLUSO TROCEADA O EN ""PELLETS"""
714909000,"DEMAS RAICES O TUBERC FRESC, REFRIG, CONGEL, SECO, INCL TROZOS O ""PELLETS""; MED. SAGU"
801190000,COCOS FRESCOS
801210000,"NUECES DEL BRASIL CON CASCARA, FRESCAS O SECAS"
801220000,NUECES DEL BRASIL SIN  CASCARA  FRESCAS O SECAS
801320000,"NUECES DEL MARAÑON (MEREY, CAJAUIL, ANACARDO,""CAJU"")  SIN CASCARA, FRESCAS O SECAS"
802110000,"ALMENDRAS CON CASCARA,FRESCAS O SECAS"
802210000,"AVELLANAS (CORYLUS SPP)  CON CASCARA, FRESCAS O SECAS"
802220000,"AVELLANAS (CORYLUS SPP)  SIN CASCARA, FRESCAS O SECAS"
802320000,"NUECES DE NOGAL SIN CASCARA, FRESCAS O SECAS"
804100000,"DATILES, FRESCOS O SECOS"
804200000,"HIGOS, FRESCOS O SECOS"
804300000,PIÃ¿AS (ANANAS) FRESCAS O SECAS
804501000,"GUAYABAS, FRESCOS O SECOS"
804502000,"MANGOS Y MANGOSTANES, FRESCOS O SECOS"
805100000,"NARANJAS , FRESCAS O SECAS"
805400000,"TORONJAS Y POMELOS, FRESCOS O SECOS"
805501000,"LIMONES (CITRUS LIMON, CITRUS LIMONUM) FRESCOS O SECOS"
805502100,"LIMON (LIMON SUTIL, LIMON COMUN, LIMON CRIOLLO) (CITRUS AURANTIFOLIA) FRESCOS O SECOS"
805502200,LIMA TAHITI (LIMON TAHITI)(CITRUS LATIFOLIA) FRESCOS O SECOS
805900000,"LOS DEMAS AGRIOS (CITRICOS), FRESCOS O SECOS"
806100000,UVAS FRESCAS
806200000,"UVAS SECAS, INCLUIDAS LAS PASAS"
807110000,SANDIAS FRESCAS
807190000,MELONES FRESCOS
807200000,PAPAYAS FRESCOS
808100000,MANZANAS FRESCAS
2710193100,PREPARACIONES A BASE DE ACEITES PESADOS DE MEZCLAS DE N-PARAFINAS
2710193200,PREPARACIONES A BASE DE ACEITES PESADOS DE MEZCLAS DE N-OLEFINAS
2710193300,ACEITES PARA AISLAMIENTO ELECTRICO
2710193400,GRASAS LUBRICANTES
2710193500,ACEITES BASE PARA LUBRICANTES
2710193600,ACEITES PARA TRANSMISIONES HIDRÁULICAS
2710193700,ACEITES BLANCOS (DE VASELINA O DE PARAFINA)
2710193800,OTROS ACEITES LUBRICANTES
2710193900,LAS DEMAS PREPARACIONES A BASE DE ACEITES PESADOS
2710990000,LOS DEMÁS DESECHOS DE ACEITE
2711110000,"GAS NATURAL, LICUADO"
2711120000,"GAS PROPANO, LICUADO"
2711130000,"GASES BUTANOS, LICUADO"
2711140000,"ETILENO, PROPILENO, BUTILENO Y BUTADIENO, LICUADOS"
2711190000,DEMAS GASES DE PETROLEO LICUADOS
2711210000,GAS NATURAL
2711290000,DEMAS HIDROCARBUROS GASEOSOS
2712101000,VASELINA EN BRUTO
2712109000,"VASELINA, EXCEPTO EN BRUTO"
2712200000,"PARAFINA CON UN CONTENIDO DE ACEITE INFERIOR AL 0,75% EN PESO"
2712901000,CERA DE PETROLEO MICROCRISTALINA
2712902000,OZOQUERITA Y CERESINA
2712903000,"PARAFINA CON UN CONTENIDO DE ACEITE SUPERIOR O IGUAL A 0,75% EN PESO"
2713110000,"COQUE DE PETROLEO, SIN CALCINAR"
2713120000,"COQUE DE PETROLEO, CALCINADO"
2713200000,BETUN DE PETROLEO
2714100000,PIZARRAS Y ARENAS BITUMINOSAS
2714900000,BETUNES Y ASFALTOS NATURALES; ASFALTITAS Y ROCAS ASFALTICAS
2715001000,MASTIQUES BITUMINOSOS
2715009000,"DEMAS MEZCLAS BITUMINOSAS A BASE DE ASFALTO, O BETUN NATURAL, O BETUN DE PETROLEO"
2716000000,ENERGIA ELECTRICA
2801100000,CLORO
2801200000,YODO
2801300000,FLUOR; BROMO
2802000000,AZUFRE SUBLIMADO  O  PRECIPITADO;  AZUFRE COLOIDAL.
2804100000,HIDROGENO
2804210000,ARGON
2804290000,LOS DEMAS GASES NOBLES
2804300000,NITROGENO
2804400000,OXIGENO
2804690000,"LOS DEMAS SILICIO, CON CONTENIDO DE SILICIO INFERIOR A 99.99% EN PESO"
2804701000,FOSFORO ROJO O AMORFO
2804709000,LOS DEMAS FOSFORO
2804800000,ARSENICO
2933915000,"CAMAZEPAM,CLORDIAZEPOXIDO,CLONAZEPAM,CLORAZEPATO,DELORAZEPAM,ESTAZOLAM,FLUDIAZEPAM,"
2933916000,"FLURAZEPAM, HALAZEPAM, LOFLAZEPATO DE ETILO, LORMETAZEPAM, MAZINDOL, MEDAZEPAM,"
2933917000,"NITRAZEPAM,NORDAZEPAM,OXAZEPAM,PINAZEPAM,PRAZEPAM,PIROVALERONA,TEMAZEPAM Y TETRAZEPAM"
2933919000,SALES DE PRODUCTOS DE LAS SUBPARTIDAS 2933.91.10 A 2933.91.70
2934200010,MERCAPTOBENZOTIAZOL
2934200090,LOS DEMAS COMPUESTOS CUYA ESTRUCTURA CONTENGA CICLOS BENZOTIAZOL(INCL.HIDROGENADOS)SI
2934300010,FENOTIAZINA
2934300090,LOS DEMAS COMPUESTOS CON CICLOS FENOTIAZINA(INCL. HIDROG) S/OTRAS CONDENSACIONES
2934911000,"AMINOREX (DCI), BROTIZOLAM (DCI), CLOTIAZEPAM (DCI), CLOXAZOLAM (DCI) Y DEXTROMORAMID"
2934912000,"HALOXAZOLAM (DCI), KETAZOLAM (DCI), MESOCARBO (DCI), OXAZOLAM (DCI) Y PEMOLINA (DCI)"
2934913000,"FENMETRAZINA (DCI), FENDIMETRAZINA (DCI) Y SUFENTANIL (DCI)"
2934919000,"SALES DE PRODUCTOS DE LAS SUBPARTIDAS 2934.91.10,  2934.91.20 Y 2934.91.30"
2934991000,SULTONAS Y SULTAMAS
2934992000,ACIDO 6-AMINOPENICILÁNICO
2934993000,ACIDOS NUCLEICOS Y SUS SALES
2936210000,VITAMINAS A Y SUS DERIVADOS
2936220000,VITAMINA B1 Y SUS DERIVADOS
2936230000,VITAMINA B2 Y SUS DERIVADOS
2936240000,ACIDO D- O DL-PANTOTENICO (VITAMINA B3 O VITAMINA B5) Y SUS DERIVADOS
2936250000,VITAMINA B6 Y SUS DERIVADOS
2936260000,VITAMINA B12 Y SUS DERIVADOS
2936270000,VITAMINA C Y SUS DERIVADOS
2936280000,VITAMINA E Y SUS DERIVADOS
2936291000,VITAMINA B9 Y SUS DERIVADOS
2936292000,VITAMINA K Y SUS DERIVADOS
2936293000,VITAMINA PP Y SUS DERIVADOS
2936299000,LAS DEMAS VITAMINAS Y SUS DERIVADOS SIN MEZCLAR
2937110000,"SOMATOTROPINA, SUS DERIVADOS Y ANÁLOGOS ESTRUCTURALES"
2937120000,INSULINA Y SUS SALES
2937211000,HIDROCORTISONA (DCI)
2937212000,PREDNISOLONA (DCI) (DEHIDROHIDROCORTISONA)
2937219010,PREDNISONA (DEHIDROCORTISONA)
2937219020,CORTISONA
2937221000,BETAMETASONA (DCI)
2937222000,DEXAMETASONA (DCI)
2937223000,TRIAMCINOLONA (DCI)
2937224000,FLUOCINONIDA (DCI)
2937231000,PROGESTERONA (DCI) Y SUS DERIVADOS
809100000,"DAMASCOS (ALBARICOQUES, CHABACANOS)  FRESCOS"
809400000,"CIRUELAS Y ENDRINAS, FRESCAS"
810100000,FRESAS (FRUTILLAS) FRESCOS
810200000,"FRAMBUESAS, ZARZAMORAS, MORAS Y MORAS-FRAMBUESA, FRESCAS"
810500000,KIWIS FRESCOS
810600000,DURIONES FRESCOS
810901000,"GRANADILLA, ""MARACUYA"" (PARCHITA) Y DEMAS FRUTAS DE LA PASION (PASSIFLORA SPP.) FRESC"
810902000,"CHIRIMOYA, GUANABANA Y DEMAS ANONAS (ANNONA SPP.) FRESCAS"
810903000,"TOMATE DE ARBOL (LIMA TOMATE, TAMARILLO)  (CYPHOMANDRA  BETACEA) FRESCO"
810904000,PITAHAYAS (CEREUS SPP.) FRESCAS
811101000,"FRESAS (FRUTILLAS) CON ADICION DE AZUCAR U OTRO EDULCORANTE, CONGELADOS"
811109000,"FRESAS (FRUTILLAS) SIN ADICION DE AZUCAR U OTRO EDULCORANTE, CONGELADOS"
811200000,"FRAMBUESAS, ZARZAMORAS, MORAS, MORAS-FRAMBUESA Y GROSELLAS, S/COCER O COCIDOS, CONGEL"
